,SeqId,TargetFullName,Target,UniProt,EntrezGeneSymbol,Units,Dilution,PlateScale_Reference,Function
3562,6022-57,Protein kinase C-binding protein NELL2,NELL2,Q99435,NELL2,RFU,0.5,998.1,
3563,6027-31,Relaxin-3,REL3,Q8WXF3,RLN3,RFU,20,541.7,
3564,Feb-35,"Beta-galactoside alpha-2,6-sialyltransferase 1",SIAT1,P15907,ST6GAL1,RFU,20,488.4,
3565,6036-78,NA,Deprecated,NA,NA,RFU,20,1396.9,
3566,Jun-37,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,280.5,
3567,6039-24,Corticotropin-releasing factor-binding protein,CRHBP,P24387,CRHBP,RFU,0.5,3173.9,
3568,6042-52,Tenascin,Tenascin,P24821,TNC,RFU,20,22745.3,
3569,Apr-48,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,452.7,
3570,6049-64,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,PTPRS,RFU,0.5,39418.7,
3571,Jun-54,Neurexophilin-3,NXPH3,O95157,NXPH3,RFU,20,2061.2,
3572,Feb-60,Prolactin-inducible protein,PIP,P12273,PIP,RFU,20,10044.3,
3573,Apr-64,Endoplasmic reticulum resident protein 44,TXNDC4,Q9BS26,ERP44,RFU,0.5,2978.3,
3574,6069-71,Sulfatase-modifying factor 2,SUMF2,Q8NBJ7,SUMF2,RFU,20,4682.8,
3575,Nov-70,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,761.6,
3576,6077-63,Adenosine deaminase CECR1,CECR1,Q9NZK5,CECR1,RFU,0.5,17377.8,
3577,6079-59,2-phosphoxylose phosphatase 1,ACPL2,Q8TE99,ACPL2,RFU,20,3080.5,
3578,6081-52,Procollagen C-endopeptidase enhancer 2,PCOC2,Q9UKZ9,PCOLCE2,RFU,0.5,16893.6,
3579,6086-15,Chordin-like protein 2,CRDL2,Q6WN34,CHRDL2,RFU,0.5,3520.1,
3580,Feb-02,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1278,
3581,6103-70,Fc receptor-like protein 5,FCRL5,Q96RD9,FCRL5,RFU,20,700.1,
3582,Mar-07,Chymotrypsin-like elastase family member 1,ELA1,Q9UNI1,CELA1,RFU,20,35650.3,
3583,6115-40,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,3894.6,
3584,Apr-17,Neuroendocrine convertase 2,NEC2,P16519,PCSK2,RFU,20,4094.7,
3585,6119-14,MAM domain-containing protein 2,MAMC2,Q7Z304,MAMDC2,RFU,20,641.8,
3586,May-21,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,194.6,
3587,6123-69,Cellular tumor antigen p53,p53,P04637,TP53,RFU,20,3354.1,
3588,6151-18,Dual specificity mitogen-activated protein kinase kinase 3,MP2K3,P46734,MAP2K3,RFU,20,949.2,
3589,Nov-68,Cellular tumor antigen p53 R175H mutant,p53 R175H,P04637,TP53,RFU,20,3006.3,
3590,Oct-07,Prosaposin,prosaposin,P07602,PSAP,RFU,20,2512.1,
3591,6210-100,Interferon alpha-5,IFNA5,P01569,IFNA5,RFU,20,687.7,
3592,Oct-13,Choriogonadotropin subunit beta variant 2,CGB2,Q6NT52,CGB2,RFU,20,1048.9,
3593,6214-84,Interferon alpha-8,IFNA8,P32881,IFNA8,RFU,20,379.6,
3594,6219-14,PDZ domain-containing protein 11,PDZ11,Q5EBL8,PDZD11,RFU,20,171.2,
3595,Jan-21,ADP-dependent glucokinase,ADPGK,Q9BRR6,ADPGK,RFU,20,1679.3,
3596,May-23,Guanylate cyclase activator 2B,GUC2B,Q16661,GUCA2B,RFU,20,1684.4,
3597,6226-69,"Calcium uptake protein 2, mitochondrial",EFHA1,Q8IYU8,EFHA1,RFU,20,898.4,
3598,Jan-27,Kallikrein-10,kallikrein 10,O43240,KLK10,RFU,20,2731.2,
3599,6228-58,Sperm acrosome membrane-associated protein 1,sperm acrosome associated 1,Q9HBV2,SPACA1,RFU,20,487,
3600,6230-56,Cerberus,CER1,O95813,CER1,RFU,20,378.5,
3601,6231-46,Stanniocalcin-2,STC2,O76061,STC2,RFU,20,778.3,
3602,6234-74,Vitrin,VITRN,Q6UXI7,VIT,RFU,20,3588.5,
3603,Nov-37,Fibroblast growth factor receptor-like 1,FGRL1,Q8N441,FGFRL1,RFU,20,328.9,
3605,6240-70,R-spondin-1,RSPO1,Q2MKA7,RSPO1,RFU,20,454.6,
3606,Apr-45,Nectin-2,Nectin-2,Q92692,PVRL2,RFU,20,505,
3607,Sep-47,Signal-regulatory protein beta-1,SIRB1,O00241,SIRPB1,RFU,20,2310.2,
3608,6252-62,Secretoglobin family 3A member 1,Secretoglobin family 3A member 1,Q96QR1,SCGB3A1,RFU,0.5,19129.4,
3609,6255-74,Probable carboxypeptidase X1,CPXM1,Q96SM3,CPXM1,RFU,20,2162,
3610,Sep-56,Lymphocyte antigen 6 complex locus protein G6c,LY66C,O95867,LY6G6C,RFU,20,3309.1,
3611,6257-56,Cell growth regulator with EF hand domain protein 1,CGRE1,Q99674,CGREF1,RFU,0.5,4640.3,
3612,6260-14,Tenascin,Tenascin,P24821,TNC,RFU,0.5,21324.6,
3613,6262-14,Interleukin-17 receptor B,IL-17B R,Q9NRM6,IL17RB,RFU,20,291.6,
3614,Sep-64,Protein CYR61,CYR61,O00622,CYR61,RFU,20,208.5,
3615,6267-51,Stathmin-4,STMN4,Q9H169,STMN4,RFU,20,774.5,
3616,6273-58,Prolyl 3-hydroxylase 1,P3H1,Q32P28,LEPRE1,RFU,20,1338.5,
3617,6274-15,WSC domain-containing protein 2,WSCD2,Q2TBF2,WSCD2,RFU,20,275.3,
3618,6276-16,Furin,Furin,P09958,FURIN,RFU,20,2251.3,
3619,6277-55,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,29996,
3620,Nov-80,Protocadherin-8,PCDH8,O95206,PCDH8,RFU,20,2014.5,
3621,6281-51,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",SIA4B,Q16842,ST3GAL2,RFU,20,1855.2,
3622,Jul-84,ALK and LTK ligand 2,F150B,Q6UX46,FAM150B,RFU,20,2741.4,
3623,6285-71,Malectin,K0152,Q14165,MLEC,RFU,20,2677.1,
3624,6289-78,Rho GTPase-activating protein 36,RHG36,Q6ZRI8,ARHGAP36,RFU,0.5,622,
3625,Mar-90,Urotensin-2B,UTS2B,Q765I0,UTS2B,RFU,20,805.1,
3626,6291-55,Calsyntenin-3,Alcadein-beta,Q9BQT9,CLSTN3,RFU,20,1313.6,
3627,Nov-94,B melanoma antigen 2,BAGE2,Q86Y30,BAGE2,RFU,20,901.3,
3628,6295-67,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,2202.8,
3629,6296-36,Oncoprotein-induced transcript 3 protein,OIT3,Q8WWZ8,OIT3,RFU,20,497.7,
3630,6300-14,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,4314.1,
3631,Aug-04,Complement C1q tumor necrosis factor-related protein 1,C1QT1,Q9BXJ1,C1QTNF1,RFU,0.5,3862.5,
3632,6315-58,Phospholipase B-like 1,PLBL1,Q6P4A8,PLBD1,RFU,20,911.3,
3633,6321-65,Protocadherin gamma-A10,PCDGA,Q9Y5H3,PCDHGA10,RFU,20,1310.3,
3634,Nov-24,Deoxyribonuclease-1-like 2,DNSL2,Q92874,DNASE1L2,RFU,20,3827.3,
3635,6326-20,Bone morphogenetic protein 4,BMP-4,P12644,BMP4,RFU,20,596.2,
3636,Sep-34,Inactive gamma-glutamyltranspeptidase 2,GGT2,P36268,GGT2,RFU,0.5,1131.6,
3637,Oct-40,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,21372.5,
3638,Oct-42,Nephronectin,Nephronectin,Q6UXI9,NPNT,RFU,0.5,486.2,
3639,6351-55,B-cell antigen receptor complex-associated protein beta chain,CD79B,P40259,CD79B,RFU,20,711.4,
3641,6354-13,Hephaestin-like protein 1,HPHL1,Q6MZM0,HEPHL1,RFU,20,560.6,
3642,6357-83,Chymotrypsin-like elastase family member 3B,ELA3B,P08861,CELA3B,RFU,20,973.5,
3643,6359-50,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",AGO61,Q8NAT1,POMGNT2,RFU,20,1094.7,
3644,Jul-60,Beta-defensin 128,DB128,Q7Z7B8,DEFB128,RFU,20,615.1,
3645,6361-49,Receptor-type tyrosine-protein phosphatase R,PTPRR,Q15256,PTPRR,RFU,20,405.6,
3646,Jun-62,Augurin,AUGN,Q9H1Z8,C2orf40,RFU,20,1869.1,
3647,6363-55,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,620.3,
3648,Jul-64,Tapasin-related protein,TPSNR,Q9BX59,TAPBPL,RFU,20,5855.3,
3649,6365-62,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,283.5,
3650,6367-66,fibromodulin,fibromodulin,Q06828,FMOD,RFU,20,13390.3,
3651,Sep-68,Cystatin-like 1,CST1L,Q9H114,CSTL1,RFU,20,2178.9,
3652,6369-82,Deformed epidermal autoregulatory factor 1 homolog,DEAF1,O75398,DEAF1,RFU,0.5,1407.6,
3653,6371-50,Angiopoietin-related protein 7,ANGL7,O43827,ANGPTL7,RFU,20,646.6,
3654,Jul-72,Y-box-binding protein 2,YBOX2,Q9Y2T7,YBX2,RFU,20,10006,
3655,6373-54,Protein delta homolog 1,DLK1,P80370,DLK1,RFU,0.5,1781,
3656,6375-75,Xyloside xylosyltransferase 1,XXLT1,Q8NBI6,XXYLT1,RFU,20,2480.2,
3657,6377-54,Lysozyme-like protein 2,LYZL2,Q7Z4W2,LYZL2,RFU,20,705.4,
3658,Feb-78,Protein CEI,CEI,Q86SI9,C5orf38,RFU,0.5,4345.5,
3659,6379-62,ADAMTS-like protein 2,ATL2,Q86TH1,ADAMTSL2,RFU,0.005,794,
3660,6380-23,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",ICT1,Q14197,ICT1,RFU,0.5,64109,
3661,6382-17,Beta-mannosidase,MANBA,O00462,MANBA,RFU,20,3172.1,
3662,6383-90,Tolloid-like protein 1,TLL1,O43897,TLL1,RFU,20,13368.7,
3663,6384-19,WAP four-disulfide core domain protein 3,WFDC3,Q8IUB2,WFDC3,RFU,20,221.5,
3664,6385-63,von Willebrand factor A domain-containing protein 1,VWA1,Q6PCB0,VWA1,RFU,0.5,655.5,
3665,6388-21,Coiled-coil domain-containing protein 126,CC126,Q96EE4,CCDC126,RFU,0.5,888,
3666,6389-57,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,3700.1,
3667,6390-18,Neuropeptide S,NPS,P0C0P6,NPS,RFU,0.005,11413.8,
3668,6391-52,Leukocyte immunoglobulin-like receptor subfamily A member 3,LIRA3,Q8N6C8,LILRA3,RFU,0.005,2282.5,
3669,Jul-92,WNT1-inducible-signaling pathway protein 2,WISP-2,O76076,WISP2,RFU,0.5,11156.1,
3670,6393-63,Endoplasmin,Endoplasmin,P14625,HSP90B1,RFU,0.5,1820.1,
3671,6395-58,Glycoprotein hormone alpha-2,GPHA2,Q96T91,GPHA2,RFU,20,465.1,
3672,Dec-98,"Lon protease homolog, mitochondrial",LONM,P36776,LONP1,RFU,20,473.3,
3673,6399-52,Beta-defensin 107,D107A,Q8IZN7,DEFB107A,RFU,20,185,
3674,6400-33,Tumor protein p53-inducible protein 13,P5I13,Q8NBR0,TP53I13,RFU,20,646.4,
3675,6401-73,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,4148.8,
3676,Aug-02,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-deltaTM,PILRA isoform FDF03-deltaTM,Q9UKJ1,PILRA,RFU,20,9993.7,
3677,6404-20,C1q-related factor,C1QRF,O75973,C1QL1,RFU,20,1004.6,
3678,6405-74,Pregnancy-specific beta-1-glycoprotein 2,PSG2,P11465,PSG2,RFU,20,4834.7,
3679,Mar-06,Normal mucosa of esophagus-specific gene 1 protein,NMES1,Q9C002,NMES1,RFU,0.5,2715.6,
3680,6407-63,Ladinin-1,LAD1,O00515,LAD1,RFU,20,127.9,
3681,Feb-08,Inhibin beta C chain,INHBC,P55103,INHBC,RFU,0.5,12223.9,
3682,6409-57,Adhesion G protein-coupled receptor F5,GP116,Q8IZF2,ADGRF5,RFU,0.5,1218.8,
3683,6410-26,Early placenta insulin-like peptide,INSL4,Q14641,INSL4,RFU,20,281.3,
3684,6411-58,Beta-defensin 135,DB135,Q30KP9,DEFB135,RFU,20,642.3,
3685,6412-26,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,100.6,
3686,6413-79,Lipase member K,LIPK,Q5VXJ0,LIPK,RFU,20,350.4,
3687,Aug-14,Out at first protein homolog,OAF,Q86UD1,OAF,RFU,0.5,10041.6,
3688,6415-90,Carboxypeptidase N subunit 2,CPN2,P22792,CPN2,RFU,0.005,21304.6,
3689,Aug-16,Gastrokine-2,GKN2,Q86XP6,GKN2,RFU,20,98.5,
3690,6417-55,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,3779.4,
3691,6419-75,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,398.1,
3692,Apr-20,"Succinate dehydrogenase assembly factor 2, mitochondrial",SDHF2,Q9NX18,SDHAF2,RFU,0.005,133.8,
3693,6421-52,Interferon alpha-16,IFN16,P05015,IFNA16,RFU,20,883.6,
3694,Feb-24,Probable inactive ribonuclease-like protein 13,RNS13,Q5GAN3,RNASE13,RFU,20,4108,
3695,6425-87,Matrix metalloproteinase-19,MMP19,Q99542,MMP19,RFU,0.5,5063.4,
3696,6430-36,Protein FAM19A2,F19A2,Q8N3H0,FAM19A2,RFU,20,348.9,
3697,6431-68,Prenylcysteine oxidase 1,PCYOX,Q9UHG3,PCYOX1,RFU,0.005,1730.5,
3698,6433-57,Pseudokinase FAM20A,FA20A,Q96MK3,FAM20A,RFU,20,1802.5,
3699,6434-18,Retina-specific copper amine oxidase,Amine oxidase,O75106,AOC2,RFU,20,573.5,
3700,6439-59,Uncharacterized protein C14orf93,CN093,Q9H972,C14orf93,RFU,0.005,3637.4,
3701,6440-31,Microfibrillar-associated protein 5,MFAP5,Q13361,MFAP5,RFU,20,3525.8,
3702,6441-62,A disintegrin and metalloproteinase with thrombospondin motifs 6,ATS6,Q9UKP5,ADAMTS6,RFU,20,1077.4,
3703,Jun-42,B melanoma antigen 3,BAGE3,Q86Y29,BAGE3,RFU,0.005,4823.1,
3704,6443-68,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,352.2,
3705,6444-15,Pregnancy-specific beta-1-glycoprotein 3,PSG3,Q16557,PSG3,RFU,20,35564.4,
3706,6447-73,Pentraxin-related protein PTX3,PTX3,P26022,PTX3,RFU,20,556.2,
3707,6448-36,Semaphorin-3C,Sema E,Q99985,SEMA3C,RFU,20,731.8,
3708,Aug-50,Gastrotropin,FABP6,P51161,FABP6,RFU,20,298.4,
3709,6451-64,Asporin,ASPN,Q9BXN1,ASPN,RFU,0.5,5515.7,
3710,6453-70,Leukocyte immunoglobulin-like receptor subfamily B member 4,LIRB4,Q8NHJ6,LILRB4,RFU,0.5,481.8,
3711,6454-38,Rho GDP-dissociation inhibitor 1,Rho-GDIa,P52565,ARHGDIA,RFU,20,692.5,
3712,6455-52,Hyaluronan and proteoglycan link protein 4,HPLN4,Q86UW8,HAPLN4,RFU,20,263.9,
3713,6456-17,Pregnancy-specific beta-1-glycoprotein 6,PSG6,Q00889,PSG6,RFU,20,1567.9,
3714,Jun-58,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,RPN1,RFU,0.5,809.2,
3715,6461-54,Apolipoprotein C-III,Apo C-III,P02656,APOC3,RFU,0.5,9430.5,
3716,Dec-62,Metalloproteinase inhibitor 4,TIMP-4,Q99727,TIMP4,RFU,0.5,2851.2,
3717,6463-59,Orexigenic neuropeptide QRFP,OX26,P83859,QRFP,RFU,20,1151.1,
3718,6464-40,Transmembrane protein PVRIG,PVRIG,Q6DKI7,PVRIG,RFU,20,2016.1,
3719,Jul-66,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,443.3,
3720,6467-65,Protein O-glucosyltransferase 1,KTEL1,Q8NBL1,POGLUT1,RFU,20,1080.3,
3721,6468-37,Tachykinin-4,TKN4,Q86UU9,TAC4,RFU,20,843.1,
3722,6469-62,Lymphocyte antigen 6 complex locus protein G6d,LY66D,O95868,LY6G6D,RFU,20,303.5,
3723,6470-19,Fibulin-1,fibulin 1,P23142,FBLN1,RFU,0.5,43640.7,
3724,6471-53,Complement factor H-related protein 4,FHR4,Q92496,CFHR4,RFU,0.5,37444.8,
3725,6472-40,Melanocyte protein PMEL,GP100,P40967,PMEL,RFU,20,4811.5,
3726,6473-55,BPI fold-containing family A member 1,PLUNC,Q9NP55,BPIFA1,RFU,20,792.5,
3727,Feb-78,IgLON family member 5,IGLO5,A6NGN9,IGLON5,RFU,20,2860.2,
3728,Jan-80,Soluble calcium-activated nucleotidase 1,CANT1,Q8WVQ1,CANT1,RFU,20,642.8,
3729,6485-59,Immunoglobulin lambda-like polypeptide 1,IGLL1,P15814,IGLL1,RFU,20,2291.5,
3730,6491-59,Kallikrein-15,kallikrein 15,Q9H2R5,KLK15,RFU,20,1062,
3731,Sep-93,Carboxypeptidase Z,CBPZ,Q66K79,CPZ,RFU,20,656.9,
3732,6494-60,Sperm acrosome-associated protein 5,sperm acrosome associated 5,Q96QH8,SPACA5,RFU,20,486.6,
3733,6495-14,Endothelin-1,Endothelin 1,P05305,EDN1,RFU,20,469.8,
3734,6496-60,Protein delta homolog 1,DLK1,P80370,DLK1,RFU,0.5,528.9,
3735,Oct-97,Retinoschisin,XLRS1,O15537,RS1,RFU,20,940.6,
3736,6504-65,Lysyl oxidase homolog 2,Lysyl oxidase-like protein 2,Q9Y4K0,LOXL2,RFU,20,309.7,
3737,6506-54,Transmembrane emp24 domain-containing protein 10,TMEDA,P49755,TMED10,RFU,0.5,1001.5,
3738,6507-16,Neural cell adhesion molecule 2,NCAM2,O15394,NCAM2,RFU,20,1688.8,
3739,6508-68,Secretoglobin family 1D member 2,SG1D2,O95969,SCGB1D2,RFU,0.5,938.1,
3740,6510-56,E3 ubiquitin-protein ligase RNF128,RN128,Q8TEB7,RNF128,RFU,20,2892.8,
3741,6511-17,Protein FAM19A4,F19A4,Q96LR4,FAM19A4,RFU,20,794.5,
3742,6517-14,Growth/differentiation factor 10,BMP-3b,P55107,GDF10,RFU,20,1437.4,
3743,6518-85,Appetite-regulating hormone,ghrelin,Q9UBU3,GHRL,RFU,20,798.7,
3744,6520-87,Matrix Gla protein,MGP,P08493,MGP,RFU,0.5,3932.9,
3745,6521-35,Neuronal pentraxin-2,NPTX2,P47972,NPTX2,RFU,0.5,1182.3,
3746,6522-57,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,0.5,27985.9,
3747,6525-17,Dual specificity protein phosphatase 13 isoform A,DUSP13,Q6B8I1,DUSP13,RFU,20,5542.7,
3748,6526-77,Odorant-binding protein 2a,OBP2A,Q9NY56,OBP2A,RFU,20,605.1,
3749,Jan-27,TLR4 interactor with leucine rich repeats,TRIL,Q7L0X0,TRIL,RFU,20,2549.9,
3750,6528-95,Exostosin-like 2,EXTL2,Q9UBQ6,EXTL2,RFU,20,1189.1,
3751,6530-63,Opiorphin prepropeptide,PROL1,Q99935,PROL1,RFU,20,239.5,
3752,6531-29,Protein FAM162A,F162A,Q96A26,FAM162A,RFU,20,302.9,
3753,6533-20,Deoxyribonuclease-2-beta,DNS2B,Q8WZ79,DNASE2B,RFU,20,197.8,
3754,6536-54,Putative phospholipase B-like 2,LAML2,Q8NHP8,PLBD2,RFU,20,2691.3,
3755,6538-90,Uncharacterized protein KIAA2013,K2013,Q8IYS2,KIAA2013,RFU,20,434,
3756,6543-182,Prolactin-releasing peptide,PRRP,P81277,PRLH,RFU,20,1117.8,
3757,6544-33,Protein kinase C-binding protein NELL1,NELL1,Q92832,NELL1,RFU,20,5407.9,
3758,6545-58,Major prion protein,PRIO,P04156,PRNP,RFU,20,1035.7,
3759,6547-83,Transmembrane protease serine 11D,TM11D,O60235,TMPRSS11D,RFU,20,442.9,
3760,6549-60,V-set and transmembrane domain-containing protein 2-like protein,VTM2L,Q96N03,VSTM2L,RFU,20,341.2,
3761,Apr-50,Intercellular adhesion molecule 4,ICAM4,Q14773,ICAM4,RFU,0.5,2139.1,
3762,6551-94,Serpin A12,Vaspin,Q8IW75,SERPINA12,RFU,20,13759.9,
3763,6553-68,Cilia- and flagella-associated protein 45,CCD19,Q9UL16,CFAP45,RFU,20,598.7,
3764,6555-58,"Stomatin-like protein 2, mitochondrial",Stomatin-like protein 2,Q9UJZ1,STOML2,RFU,0.5,1299.7,
3765,May-56,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,Q9UJA9,ENPP5,RFU,0.5,1612.6,
3766,6557-50,Leucine-rich repeat-containing protein 15,LRC15,Q8TF66,LRRC15,RFU,0.5,1390.8,
3767,May-58,Collectin-10,COL10,Q9Y6Z7,COLEC10,RFU,20,2102.8,
3768,6561-77,Ig Kappa chain V-I region HK102- like,Ig K chain V-I region HK102-like,NA,LOC652493,RFU,0.5,2327,
3769,6563-78,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A,RFU,20,3699.3,
3770,Jan-70,Collagen alpha-1(XIII) chain,CODA1,Q5TAT6,COL13A1,RFU,20,1255.5,
3771,6571-75,Uncharacterized protein C17orf78,CQ078,Q8N4C9,C17orf78,RFU,20,571.1,
3772,Oct-72,Leucine-rich repeat transmembrane neuronal protein 4,LRRT4,Q86VH4,LRRTM4,RFU,20,579.9,
3773,Nov-74,Fas apoptotic inhibitory molecule 3,FAIM3,O60667,FAIM3,RFU,0.5,7083.6,
3774,Jan-76,Ecto-ADP-ribosyltransferase 4,ART4,Q93070,ART4,RFU,20,1672,
3775,6577-64,Laminin subunit alpha-4,LAMA4,Q16363,LAMA4,RFU,20,553.1,
3776,6578-29,Tenomodulin,TNMD,Q9H2S6,TNMD,RFU,20,1387.6,
3777,6580-29,Pregnancy zone protein,Pregnancy zone protein,P20742,PZP,RFU,0.5,21762.5,
3778,Jan-84,Sarcoplasmic reticulum histidine-rich calcium-binding protein,SRCH,P23327,HRC,RFU,20,224.4,
3779,6586-19,Disintegrin and metalloproteinase domain-containing protein 11,ADA11,O75078,ADAM11,RFU,20,6311,
3780,May-93,Polypeptide N-acetylgalactosaminyltransferase 3,GALT3,Q14435,GALNT3,RFU,20,511.9,
3781,6594-64,SAYSvFN domain-containing protein 1,SMDC1,Q9NPB0,SAYSD1,RFU,20,473.5,
3782,6597-24,Membrane protein FAM174A,TM157,Q8TBP5,FAM174A,RFU,20,1652,
3783,May-99,Protein APCDD1,APCD1,Q8J025,APCDD1,RFU,20,623,
3784,6600-70,RELT-like protein 2,RELL2,Q8NC24,RELL2,RFU,20,523.7,
3785,6603-18,Anosmin-1,KALM,P23352,KAL1,RFU,20,1456.7,
3786,6604-59,Protein NDNF,CD031,Q8TB73,NDNF,RFU,20,1108.3,
3787,6605-17,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,P35858,IGFALS,RFU,0.005,27749.8,
3788,6606-61,Metastasis-suppressor KiSS-1,KISS1,Q15726,KISS1,RFU,0.5,27145.3,
3789,6609-22,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CN37,P09543,CNP,RFU,20,1525.4,
3790,6612-90,BRICHOS domain-containing protein 5,CP079,Q6PL45,BRICD5,RFU,20,765.6,
3791,Dec-17,Fc receptor-like protein 6,FCRL6,Q6DN72,FCRL6,RFU,20,1075.4,
3792,6620-82,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,LIGO1,Q96FE5,LINGO1,RFU,20,8320,
3793,6622-90,Apelin,APEL,Q9ULZ1,APLN,RFU,20,499.7,
3794,6624-94,Protein Wnt-11,WNT11,O96014,WNT11,RFU,20,813.5,
3795,6625-31,ATPase family AAA domain-containing protein 1,ATAD1,Q8NBU5,ATAD1,RFU,20,335.4,
3796,6626-81,Carbohydrate sulfotransferase 12,CHSTC,Q9NRB3,CHST12,RFU,20,1819.7,
3797,6627-25,Inactive pancreatic lipase-related protein 1,LIPR1,P54315,PNLIPRP1,RFU,20,2684.5,
3798,Mar-29,Beta-defensin 1,HBD-1,P60022,DEFB1,RFU,0.5,7869.6,
3799,6631-17,Collagen alpha-1(IX) chain,CO9A1,P20849,COL9A1,RFU,20,676.3,
3800,6633-43,Uroplakin-3b-like protein,UPK3L,B0FP48,UPK3BL,RFU,20,2699.8,
3801,6641-60,PolyUbiquitin K48-linked,PolyUbiquitin K48,P0CG47,UBB,RFU,0.5,946.9,
3802,6647-55,PolyUbiquitin K63-linked,PolyUbiquitin K63,P0CG48,UBC,RFU,20,3506.8,
3803,6649-51,Netrin-1,NET1,O95631,NTN1,RFU,20,400.4,
3804,6651-74,PolyUbiquitin K48-linked,PolyUbiquitin K48,P0CG47,UBB,RFU,0.5,29504.3,
3805,6653-58,Leukocyte surface antigen CD47,CD47,Q08722,CD47,RFU,20,591.8,
3806,6706-18,"Alkaline phosphatase, placental-like",PPBN,P10696,ALPPL2,RFU,20,516.7,
3807,Apr-13,Low-density lipoprotein receptor-related protein 11,LRP11,Q86VZ4,LRP11,RFU,20,4001,
3808,6715-63,"Alkaline phosphatase, placental-like",PPBN,P10696,ALPPL2,RFU,20,396.7,
3809,Jan-95,Transferrin receptor protein 1,TR,P02786,TFRC,RFU,20,3428.3,
3810,6897-38,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,B3GA3,O94766,B3GAT3,RFU,20,510.1,
3811,6899-37,Pterin-4-alpha-carbinolamine dehydratase 2,PHS2,Q9H0N5,PCBD2,RFU,20,933.3,
3812,6900-30,Ubiquitin-conjugating enzyme E2 J1,UB2J1,Q9Y385,UBE2J1,RFU,20,1125.9,
3813,6904-14,Leucine-rich repeat transmembrane neuronal protein 2,LRRT2,O43300,LRRTM2,RFU,20,671.7,
3814,6907-17,Transmembrane and coiled-coil domain-containing protein 5A,TMC5A,Q8N6Q1,TMCO5A,RFU,20,398.6,
3815,6909-40,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT2,Q10469,MGAT2,RFU,0.5,1095.5,
3816,6911-103,C-type lectin domain family 6 member A,CLC6A,Q6EIG7,CLEC6A,RFU,20,127,
3817,Jun-12,"Calcium uptake protein 3, mitochondrial",EFHA2,Q86XE3,EFHA2,RFU,20,327.8,
3818,6913-189,High mobility group protein B2,HMG-2,P26583,HMGB2,RFU,20,273.9,
3819,6917-49,Leucine-rich repeat-containing protein 3,LRRC3,Q9BY71,LRRC3,RFU,20,709.3,
3820,6918-183,Cholecystokinin,CCKN,P06307,CCK,RFU,20,1215.9,
3821,Mar-19,Hemoglobin subunit zeta,HBAZ,P02008,HBZ,RFU,0.5,2210.4,
3822,Jan-20,GDNF family receptor alpha-like,GFRAL,Q6UXV0,GFRAL,RFU,20,1254.8,
3823,6921-24,"Beta-1,4-galactosyltransferase 3",B4GT3,O60512,B4GALT3,RFU,20,673.4,
3824,Jan-23,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,O00469,PLOD2,RFU,20,1392.7,
3825,6925-26,Sorting nexin-8,SNX8,Q9Y5X2,SNX8,RFU,20,513.8,
